index,prot_acc,prot_desc,prot_mass,pI,[Urea]_50,Delta_G,Category,num_pixels,Smear,Coordinates_emPAI,Threshold,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10
0,3MG2_ECOLI,DNA-3-methyladenine glycosylase 2 OS=Escherichia coli (strain K12) GN=alkA PE=1 SV=1,31601,7.482822265625,0,0,found,1,False,"[[4.333333333333333, 9, 0.17000000000000001]]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3PASE_ECOLI,Inorganic triphosphatase OS=Escherichia coli (strain K12) GN=ygiF PE=1 SV=1,48530,5.499169921875,0,0,useful,15,False,"[[0.33333333333333331, 6, 0.11], [1.6666666666666665, 7, 0.11], [2.3333333333333335, 7, 0.10000000000000001], [3.0, 7, 0.11], [0.33333333333333331, 8, 0.11], [1.0, 8, 0.11], [1.6666666666666665, 8, 0.11], [6.9999999999999991, 8, 0.11], [1.0, 9, 0.11], [1.6666666666666665, 9, 0.11], [2.3333333333333335, 9, 0.10000000000000001], [3.0, 9, 0.11], [4.333333333333333, 9, 0.11], [5.6666666666666661, 9, 0.11], [6.9999999999999991, 9, 0.11]]",0.0,0.0,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,6PGD_ECOLI,"6-phosphogluconate dehydrogenase, decarboxylating OS=Escherichia coli (strain K12) GN=gnd PE=1 SV=2",51563,4.952431640625001,0,0,useful,55,True,"[[3.6666666666666665, 0, 1.0800000000000001], [0.33333333333333331, 1, 0.20000000000000001], [3.0, 1, 0.10000000000000001], [3.6666666666666665, 1, 0.60999999999999999], [7.6666666666666661, 1, 0.10000000000000001], [0.33333333333333331, 2, 0.46999999999999997], [1.0, 2, 0.79000000000000004], [1.6666666666666665, 2, 0.20999999999999999], [4.9999999999999991, 2, 0.10000000000000001], [0.33333333333333331, 3, 1.1899999999999999], [1.0, 3, 4.4199999999999999], [1.6666666666666665, 3, 4.0199999999999996], [2.3333333333333335, 3, 1.9299999999999999], [5.6666666666666661, 3, 0.59999999999999998], [6.9999999999999991, 3, 1.1399999999999999], [0.33333333333333331, 4, 7.7999999999999998], [1.0, 4, 7.6100000000000003], [1.6666666666666665, 4, 6.3399999999999999], [2.3333333333333335, 4, 4.6799999999999997], [3.0, 4, 6.3399999999999999], [0.33333333333333331, 5, 3.9900000000000002], [1.0, 5, 1.3799999999999999], [1.6666666666666665, 5, 2.5699999999999998], [2.3333333333333335, 5, 3.0699999999999998], [3.0, 5, 6.4100000000000001], [4.333333333333333, 5, 0.20999999999999999], [4.9999999999999991, 5, 0.34000000000000002], [7.6666666666666661, 5, 0.47999999999999998], [0.33333333333333331, 6, 0.34000000000000002], [1.0, 6, 0.32000000000000001], [1.6666666666666665, 6, 0.59999999999999998], [2.3333333333333335, 6, 0.59999999999999998], [3.0, 6, 1.3200000000000001], [3.6666666666666665, 6, 0.32000000000000001], [4.333333333333333, 6, 0.59999999999999998], [4.9999999999999991, 6, 6.8099999999999996], [5.6666666666666661, 6, 2.7400000000000002], [6.333333333333333, 6, 0.20000000000000001], [7.6666666666666661, 6, 1.8300000000000001], [0.33333333333333331, 7, 0.22], [2.3333333333333335, 7, 0.10000000000000001], [3.0, 7, 0.10000000000000001], [4.333333333333333, 7, 0.34000000000000002], [4.9999999999999991, 7, 0.22], [5.6666666666666661, 7, 4.2800000000000002], [6.333333333333333, 7, 0.34000000000000002], [6.9999999999999991, 7, 0.62], [7.6666666666666661, 7, 1.1200000000000001], [4.333333333333333, 8, 0.22], [5.6666666666666661, 8, 0.63], [6.333333333333333, 8, 1.9299999999999999], [6.9999999999999991, 8, 1.1899999999999999], [7.6666666666666661, 8, 1.4099999999999999], [5.6666666666666661, 9, 0.10000000000000001], [6.333333333333333, 9, 0.10000000000000001]]",0.0,0.0,0.0,0.22,0.34,3.99,7.8,1.19,0.47,0.2,0.0,0.0,0.0,0.0,0.32,1.38,7.61,4.42,0.79,0.0,0.0,0.0,0.0,0.0,0.6,2.57,6.34,4.02,0.21,0.0,0.0,0.0,0.0,0.1,0.6,3.07,4.68,1.93,0.0,0.0,0.0,0.0,0.0,0.1,1.32,6.41,6.34,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.61,1.08,0.0,0.22,0.34,0.6,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,6.81,0.34,0.0,0.0,0.1,0.0,0.0,0.1,0.63,4.28,2.74,0.0,0.0,0.6,0.0,0.0,0.0,0.1,1.93,0.34,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,0.62,0.0,0.0,0.0,1.14,0.0,0,0,0.0,1.41,1.12,1.83,0.48,0.0,0.0,0.0,0.1,0.0
7,AAT_ECOLI,Aspartate aminotransferase OS=Escherichia coli (strain K12) GN=aspC PE=1 SV=1,43831,5.384736328124999,0,0,overhalf,61,True,"[[6.333333333333333, 1, 0.39000000000000001], [0.33333333333333331, 2, 0.40000000000000002], [1.0, 2, 0.40999999999999998], [2.3333333333333335, 2, 0.11], [0.33333333333333331, 3, 0.26000000000000001], [3.6666666666666665, 3, 0.25], [5.6666666666666661, 3, 0.25], [6.9999999999999991, 3, 0.12], [7.6666666666666661, 3, 0.72999999999999998], [1.0, 4, 0.57999999999999996], [1.6666666666666665, 4, 0.12], [2.3333333333333335, 4, 0.12], [3.0, 4, 0.12], [0.33333333333333331, 5, 0.40000000000000002], [1.0, 5, 0.76000000000000001], [1.6666666666666665, 5, 0.26000000000000001], [2.3333333333333335, 5, 0.25], [3.0, 5, 0.40000000000000002], [4.333333333333333, 5, 0.25], [4.9999999999999991, 5, 0.26000000000000001], [5.6666666666666661, 5, 0.39000000000000001], [6.333333333333333, 5, 0.26000000000000001], [6.9999999999999991, 5, 0.56999999999999995], [0.33333333333333331, 6, 0.56999999999999995], [1.0, 6, 0.39000000000000001], [1.6666666666666665, 6, 0.39000000000000001], [2.3333333333333335, 6, 0.73999999999999999], [3.0, 6, 0.12], [4.333333333333333, 6, 0.12], [7.6666666666666661, 6, 0.40000000000000002], [0.33333333333333331, 7, 1.51], [1.0, 7, 0.56999999999999995], [1.6666666666666665, 7, 2.1299999999999999], [2.3333333333333335, 7, 1.1299999999999999], [3.0, 7, 0.12], [3.6666666666666665, 7, 0.12], [4.333333333333333, 7, 0.26000000000000001], [5.6666666666666661, 7, 0.78000000000000003], [7.6666666666666661, 7, 1.4199999999999999], [0.33333333333333331, 8, 2.1299999999999999], [1.0, 8, 4.6100000000000003], [1.6666666666666665, 8, 2.98], [2.3333333333333335, 8, 3.1499999999999999], [3.0, 8, 2.9399999999999999], [3.6666666666666665, 8, 0.73999999999999999], [4.333333333333333, 8, 0.12], [4.9999999999999991, 8, 0.12], [5.6666666666666661, 8, 0.40999999999999998], [6.333333333333333, 8, 0.98999999999999999], [6.9999999999999991, 8, 0.40999999999999998], [7.6666666666666661, 8, 1.8200000000000001], [0.33333333333333331, 9, 2.6299999999999999], [1.0, 9, 3.3700000000000001], [1.6666666666666665, 9, 3.3700000000000001], [2.3333333333333335, 9, 3.0899999999999999], [3.0, 9, 2.8999999999999999], [4.333333333333333, 9, 4.0], [4.9999999999999991, 9, 0.25], [5.6666666666666661, 9, 2.8999999999999999], [6.333333333333333, 9, 1.51], [6.9999999999999991, 9, 0.12]]",0.0,2.63,2.13,1.51,0.57,0.4,0.0,0.26,0.4,0.0,0.0,3.37,4.61,0.57,0.39,0.76,0.58,0.0,0.41,0.0,0.0,3.37,2.98,2.13,0.39,0.26,0.12,0.0,0.0,0.0,0.0,3.09,3.15,1.13,0.74,0.25,0.12,0.0,0.11,0.0,0.0,2.9,2.94,0.12,0.12,0.4,0.12,0.0,0.0,0.0,0.0,0.0,0.74,0.12,0.0,0.0,0.0,0.25,0.0,0.0,0.0,4.0,0.12,0.26,0.12,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.12,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,2.9,0.41,0.78,0.0,0.39,0.0,0.25,0.0,0.0,0.0,1.51,0.99,0.0,0.0,0.26,0.0,0.0,0.0,0.39,0.0,0.12,0.41,0.0,0.0,0.57,0.0,0.12,0.0,0,0,0.0,1.82,1.42,0.4,0.0,0.0,0.73,0.0,0.0,0.0
8,ABDH_ECOBW,Gamma-aminobutyraldehyde dehydrogenase OS=Escherichia coli (strain K12 - MC4100 - BW2952) GN=prr PE=3 SV=1,51197,5.435595703124999,0,0,useful,26,False,"[[5.6666666666666661, 5, 0.10000000000000001], [0.33333333333333331, 6, 0.10000000000000001], [0.33333333333333331, 7, 0.22], [1.0, 7, 0.10000000000000001], [1.6666666666666665, 7, 0.10000000000000001], [3.0, 7, 0.10000000000000001], [3.6666666666666665, 7, 0.10000000000000001], [4.333333333333333, 7, 0.10000000000000001], [5.6666666666666661, 7, 0.10000000000000001], [0.33333333333333331, 8, 0.47999999999999998], [1.0, 8, 0.22], [1.6666666666666665, 8, 0.47999999999999998], [2.3333333333333335, 8, 0.46000000000000002], [3.0, 8, 0.10000000000000001], [3.6666666666666665, 8, 0.10000000000000001], [4.333333333333333, 8, 0.10000000000000001], [6.9999999999999991, 8, 0.10000000000000001], [7.6666666666666661, 8, 0.10000000000000001], [0.33333333333333331, 9, 0.11], [1.0, 9, 0.10000000000000001], [1.6666666666666665, 9, 0.10000000000000001], [2.3333333333333335, 9, 0.10000000000000001], [3.0, 9, 0.20999999999999999], [4.333333333333333, 9, 0.10000000000000001], [5.6666666666666661, 9, 0.10000000000000001], [6.333333333333333, 9, 0.10000000000000001]]",0.0,0.11,0.48,0.22,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.22,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.48,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,ACCA_ECOBW,Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha OS=Escherichia coli (strain K12 - MC4100 - BW2952) GN=accA PE=3 SV=1,35333,5.6008886718749995,0,0,useful,14,False,"[[4.333333333333333, 0, 0.14999999999999999], [5.6666666666666661, 5, 0.14999999999999999], [6.9999999999999991, 5, 0.14999999999999999], [7.6666666666666661, 6, 0.14999999999999999], [7.6666666666666661, 8, 0.33000000000000002], [0.33333333333333331, 9, 1.76], [1.0, 9, 3.0800000000000001], [1.6666666666666665, 9, 2.0800000000000001], [2.3333333333333335, 9, 1.24], [3.0, 9, 0.52000000000000002], [4.333333333333333, 9, 0.53000000000000003], [5.6666666666666661, 9, 0.52000000000000002], [6.333333333333333, 9, 0.77000000000000002], [7.6666666666666661, 9, 0.16]]",0.0,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0,0,0.16,0.33,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
10,ACCC_ECOLI,Biotin carboxylase OS=Escherichia coli (strain K12) GN=accC PE=1 SV=2,49745,6.338349609374999,0,0,useful,26,False,"[[3.0, 3, 0.11], [7.6666666666666661, 3, 0.10000000000000001], [6.9999999999999991, 4, 0.10000000000000001], [4.9999999999999991, 5, 0.23000000000000001], [6.333333333333333, 5, 0.11], [6.9999999999999991, 5, 0.22], [0.33333333333333331, 7, 0.11], [2.3333333333333335, 7, 0.10000000000000001], [7.6666666666666661, 7, 0.22], [0.33333333333333331, 8, 0.5], [1.0, 8, 0.35999999999999999], [1.6666666666666665, 8, 0.66000000000000003], [2.3333333333333335, 8, 0.62], [3.6666666666666665, 8, 0.10000000000000001], [6.333333333333333, 8, 0.11], [7.6666666666666661, 8, 0.35999999999999999], [0.33333333333333331, 9, 0.68000000000000005], [1.0, 9, 1.72], [1.6666666666666665, 9, 1.02], [2.3333333333333335, 9, 1.1499999999999999], [3.0, 9, 0.65000000000000002], [4.333333333333333, 9, 1.04], [5.6666666666666661, 9, 1.46], [6.333333333333333, 9, 0.66000000000000003], [6.9999999999999991, 9, 0.10000000000000001], [7.6666666666666661, 9, 0.37]]",0.0,0.68,0.5,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.62,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.11,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.22,0.1,0.0,0.0,0,0,0.37,0.36,0.22,0.0,0.0,0.0,0.1,0.0,0.0,0.0
11,ACCD_ECODH,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta OS=Escherichia coli (strain K12 - DH10B) GN=accD PE=3 SV=1,33642,6.9122949218750005,0,0,useful,20,False,"[[4.9999999999999991, 5, 0.16], [0.33333333333333331, 7, 0.16], [2.3333333333333335, 7, 0.14999999999999999], [7.6666666666666661, 7, 0.14999999999999999], [1.6666666666666665, 8, 0.16], [2.3333333333333335, 8, 0.14999999999999999], [3.6666666666666665, 8, 0.33000000000000002], [4.333333333333333, 8, 0.16], [4.9999999999999991, 8, 0.14999999999999999], [5.6666666666666661, 8, 1.1100000000000001], [6.333333333333333, 8, 0.56999999999999995], [7.6666666666666661, 8, 0.34999999999999998], [0.33333333333333331, 9, 0.83999999999999997], [1.0, 9, 1.0900000000000001], [1.6666666666666665, 9, 1.0900000000000001], [2.3333333333333335, 9, 1.02], [3.0, 9, 0.56000000000000005], [4.333333333333333, 9, 0.81999999999999995], [5.6666666666666661, 9, 0.80000000000000004], [6.333333333333333, 9, 0.56999999999999995]]",0.0,0.84,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.8,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.35,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,ACEA_ECOLI,Isocitrate lyase OS=Escherichia coli (strain K12) GN=aceA PE=1 SV=1,47777,5.041435546875,0,0,overhalf,83,True,"[[3.0, 0, 0.11], [3.6666666666666665, 0, 0.48999999999999999], [5.6666666666666661, 0, 0.11], [3.0, 1, 0.11], [3.6666666666666665, 1, 0.67000000000000004], [4.9999999999999991, 1, 0.23999999999999999], [6.333333333333333, 1, 0.11], [1.0, 2, 0.23000000000000001], [4.9999999999999991, 2, 0.35999999999999999], [6.9999999999999991, 2, 0.11], [0.33333333333333331, 3, 0.23999999999999999], [1.0, 3, 0.22], [1.6666666666666665, 3, 0.12], [2.3333333333333335, 3, 0.23999999999999999], [3.0, 3, 0.11], [3.6666666666666665, 3, 0.51000000000000001], [5.6666666666666661, 3, 1.49], [6.9999999999999991, 3, 1.27], [7.6666666666666661, 3, 0.22], [0.33333333333333331, 4, 0.67000000000000004], [1.0, 4, 1.5900000000000001], [1.6666666666666665, 4, 0.91000000000000003], [2.3333333333333335, 4, 0.87], [3.0, 4, 0.51000000000000001], [3.6666666666666665, 4, 0.11], [6.9999999999999991, 4, 0.66000000000000003], [0.33333333333333331, 5, 2.4100000000000001], [1.0, 5, 2.8799999999999999], [1.6666666666666665, 5, 2.2000000000000002], [2.3333333333333335, 5, 3.1200000000000001], [3.0, 5, 2.4500000000000002], [4.333333333333333, 5, 0.11], [4.9999999999999991, 5, 0.37], [5.6666666666666661, 5, 0.5], [6.333333333333333, 5, 0.37], [6.9999999999999991, 5, 0.51000000000000001], [7.6666666666666661, 5, 0.23999999999999999], [0.33333333333333331, 6, 3.2999999999999998], [1.0, 6, 2.3700000000000001], [1.6666666666666665, 6, 2.0499999999999998], [2.3333333333333335, 6, 6.6600000000000001], [3.0, 6, 4.0499999999999998], [3.6666666666666665, 6, 0.48999999999999999], [4.333333333333333, 6, 0.35999999999999999], [4.9999999999999991, 6, 1.3300000000000001], [5.6666666666666661, 6, 1.04], [6.333333333333333, 6, 0.48999999999999999], [6.9999999999999991, 6, 0.52000000000000002], [7.6666666666666661, 6, 1.51], [0.33333333333333331, 7, 3.8900000000000001], [1.0, 7, 2.8199999999999998], [1.6666666666666665, 7, 2.9100000000000001], [2.3333333333333335, 7, 2.2799999999999998], [3.0, 7, 1.8], [3.6666666666666665, 7, 0.83999999999999997], [4.333333333333333, 7, 1.5900000000000001], [4.9999999999999991, 7, 0.53000000000000003], [5.6666666666666661, 7, 2.2000000000000002], [6.333333333333333, 7, 0.37], [6.9999999999999991, 7, 1.29], [7.6666666666666661, 7, 1.49], [0.33333333333333331, 8, 4.96], [1.0, 8, 4.4299999999999997], [1.6666666666666665, 8, 2.2000000000000002], [2.3333333333333335, 8, 2.0299999999999998], [3.0, 8, 2.52], [3.6666666666666665, 8, 0.35999999999999999], [4.333333333333333, 8, 0.89000000000000001], [4.9999999999999991, 8, 0.22], [5.6666666666666661, 8, 1.8799999999999999], [6.333333333333333, 8, 2.2000000000000002], [6.9999999999999991, 8, 2.9500000000000002], [7.6666666666666661, 8, 1.8799999999999999], [0.33333333333333331, 9, 2.6400000000000001], [1.0, 9, 2.8799999999999999], [1.6666666666666665, 9, 4.2999999999999998], [2.3333333333333335, 9, 2.2999999999999998], [3.0, 9, 1.5600000000000001], [4.333333333333333, 9, 2.5600000000000001], [5.6666666666666661, 9, 1.5600000000000001], [6.333333333333333, 9, 0.37], [6.9999999999999991, 9, 0.11], [7.6666666666666661, 9, 0.39000000000000001]]",0.0,2.64,4.96,3.89,3.3,2.41,0.67,0.24,0.0,0.0,0.0,2.88,4.43,2.82,2.37,2.88,1.59,0.22,0.23,0.0,0.0,4.3,2.2,2.91,2.05,2.2,0.91,0.12,0.0,0.0,0.0,2.3,2.03,2.28,6.66,3.12,0.87,0.24,0.0,0.0,0.0,1.56,2.52,1.8,4.05,2.45,0.51,0.11,0.0,0.11,0.11,0.0,0.36,0.84,0.49,0.0,0.11,0.51,0.0,0.67,0.49,2.56,0.89,1.59,0.36,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.53,1.33,0.37,0.0,0.0,0.36,0.24,0.0,1.56,1.88,2.2,1.04,0.5,0.0,1.49,0.0,0.0,0.11,0.37,2.2,0.37,0.49,0.37,0.0,0.0,0.0,0.11,0.0,0.11,2.95,1.29,0.52,0.51,0.66,1.27,0.11,0,0,0.39,1.88,1.49,1.51,0.24,0.0,0.22,0.0,0.0,0.0
13,ACKA_ECOLI,Acetate kinase OS=Escherichia coli (strain K12) GN=ackA PE=1 SV=1,43605,5.588173828124999,0,0,overhalf,70,True,"[[0.33333333333333331, 1, 0.11], [1.0, 1, 0.25], [1.6666666666666665, 1, 0.25], [2.3333333333333335, 1, 0.25], [3.6666666666666665, 1, 0.25], [4.9999999999999991, 1, 0.12], [6.333333333333333, 1, 0.12], [0.33333333333333331, 2, 0.25], [1.0, 2, 0.26000000000000001], [2.3333333333333335, 2, 0.11], [3.0, 2, 0.25], [4.333333333333333, 2, 0.12], [4.9999999999999991, 2, 0.12], [5.6666666666666661, 2, 0.12], [6.9999999999999991, 2, 0.12], [0.33333333333333331, 3, 0.12], [1.0, 3, 0.25], [1.6666666666666665, 3, 0.42999999999999999], [2.3333333333333335, 3, 0.40999999999999998], [3.0, 3, 0.77000000000000002], [3.6666666666666665, 3, 0.25], [5.6666666666666661, 3, 0.12], [6.9999999999999991, 3, 0.25], [0.33333333333333331, 4, 0.75], [1.0, 4, 0.78000000000000003], [1.6666666666666665, 4, 0.80000000000000004], [2.3333333333333335, 4, 0.97999999999999998], [3.0, 4, 1.45], [3.6666666666666665, 4, 0.26000000000000001], [5.6666666666666661, 4, 0.13], [6.9999999999999991, 4, 0.25], [0.33333333333333331, 5, 1.73], [1.0, 5, 0.77000000000000002], [1.6666666666666665, 5, 1.0], [2.3333333333333335, 5, 1.4199999999999999], [3.0, 5, 0.96999999999999997], [4.333333333333333, 5, 0.12], [4.9999999999999991, 5, 0.40999999999999998], [5.6666666666666661, 5, 0.56000000000000005], [6.333333333333333, 5, 0.58999999999999997], [6.9999999999999991, 5, 0.76000000000000001], [7.6666666666666661, 5, 0.26000000000000001], [0.33333333333333331, 6, 0.77000000000000002], [1.0, 6, 0.25], [1.6666666666666665, 6, 0.25], [2.3333333333333335, 6, 2.04], [3.0, 6, 0.73999999999999999], [3.6666666666666665, 6, 0.11], [4.333333333333333, 6, 0.25], [4.9999999999999991, 6, 0.40999999999999998], [5.6666666666666661, 6, 0.40000000000000002], [6.333333333333333, 6, 1.1499999999999999], [6.9999999999999991, 6, 0.26000000000000001], [7.6666666666666661, 6, 0.40000000000000002], [3.0, 7, 0.12], [3.6666666666666665, 7, 0.25], [4.333333333333333, 7, 0.26000000000000001], [4.9999999999999991, 7, 0.12], [5.6666666666666661, 7, 0.40999999999999998], [6.333333333333333, 7, 0.12], [6.9999999999999991, 7, 0.40000000000000002], [7.6666666666666661, 7, 0.25], [2.3333333333333335, 8, 0.12], [5.6666666666666661, 8, 0.12], [6.333333333333333, 8, 0.26000000000000001], [6.9999999999999991, 8, 0.78000000000000003], [7.6666666666666661, 8, 0.26000000000000001], [5.6666666666666661, 9, 0.12], [6.333333333333333, 9, 0.12], [7.6666666666666661, 9, 0.13]]",0.0,0.0,0.0,0.0,0.77,1.73,0.75,0.12,0.25,0.11,0.0,0.0,0.0,0.0,0.25,0.77,0.78,0.25,0.26,0.25,0.0,0.0,0.0,0.0,0.25,1.0,0.8,0.43,0.0,0.25,0.0,0.0,0.12,0.0,2.04,1.42,0.98,0.41,0.11,0.25,0.0,0.0,0.0,0.12,0.74,0.97,1.45,0.77,0.25,0.0,0.0,0.0,0.0,0.25,0.11,0.0,0.26,0.25,0.0,0.25,0.0,0.0,0.0,0.26,0.25,0.12,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.12,0.41,0.41,0.0,0.0,0.12,0.12,0.0,0.12,0.12,0.41,0.4,0.56,0.13,0.12,0.12,0.0,0.0,0.12,0.26,0.12,1.15,0.59,0.0,0.0,0.0,0.12,0.0,0.0,0.78,0.4,0.26,0.76,0.25,0.25,0.12,0,0,0.13,0.26,0.25,0.4,0.26,0.0,0.0,0.0,0.0,0.0
